date_hour,demand,temperature
2014-01-28T22,5.026,22.05
2014-01-28T23,5.052,21.6
2014-01-29T00,4.484,21.45
2014-01-29T01,4.148,20.8
2014-01-29T02,3.955,20.25
2014-01-29T03,3.873,19.7
2014-01-29T04,4.06,19.4
2014-01-29T05,4.626,19.65
2014-01-29T06,5.272,19.1
2014-01-29T07,5.441,18.65
2014-01-29T08,5.535,18.9
2014-01-29T09,5.534,19.4
2014-01-29T10,5.61,20.7
2014-01-29T11,5.671,21.75
2014-01-29T12,5.724,22.35
2014-01-29T13,5.793,24.1
2014-01-29T14,5.838,23.35
2014-01-29T15,5.908,24.4
2014-01-29T16,5.868,22.95
2014-01-29T17,5.574,22.4
2014-01-29T18,5.276,20.95
2014-01-29T19,5.065,19.6
2014-01-29T20,4.976,18.9
2014-01-29T21,4.554,18
2014-01-29T22,4.282,17.4
2014-01-29T23,4.547,16.8
2014-01-30T00,4.053,16.55
2014-01-30T01,3.72,16.3
2014-01-30T02,3.536,16.25
2014-01-30T03,3.524,16.75
2014-01-30T04,3.792,16.7
2014-01-30T05,4.42,17.1
2014-01-30T06,5.075,17.5
2014-01-30T07,5.208,18.15
2014-01-30T08,5.344,18.85
2014-01-30T09,5.482,20.65
2014-01-30T10,5.701,22.6
2014-01-30T11,5.936,25.6
2014-01-30T12,6.21,28.5
2014-01-30T13,6.462,26.75
2014-01-30T14,6.683,27.2
2014-01-30T15,6.979,27.3
2014-01-30T16,7.059,27.5
2014-01-30T17,6.893,27
2014-01-30T18,6.535,25.45
2014-01-30T19,6.121,24.5
2014-01-30T20,5.797,23.85
2014-01-30T21,5.152,23.2
2014-01-30T22,4.705,22.55
2014-01-30T23,4.805,21.85
2014-01-31T00,4.272,21.05
2014-01-31T01,3.975,20.2
2014-01-31T02,3.805,19.95
2014-01-31T03,3.775,20.4
2014-01-31T04,3.996,20.3
2014-01-31T05,4.535,20.1
2014-01-31T06,5.275,20.45
2014-01-31T07,5.509,20.9
2014-01-31T08,5.73,21.45
2014-01-31T09,5.87,21.8
2014-01-31T10,6.034,23.25
2014-01-31T11,6.175,24.1
2014-01-31T12,6.34,25.2
2014-01-31T13,6.5,25.55
2014-01-31T14,6.603,25.9
2014-01-31T15,6.804,25.45
2014-01-31T16,6.787,26.05
2014-01-31T17,6.46,25.35
2014-01-31T18,6.043,23.9
2014-01-31T19,5.627,22.25
2014-01-31T20,5.367,22
2014-01-31T21,4.866,21.7
2014-01-31T22,4.575,21.45
2014-01-31T23,4.728,20.55
2014-02-01T00,4.157,19
2014-02-01T01,3.795,18.85
2014-02-01T02,3.607,18.7
2014-02-01T03,3.537,19.05
2014-02-01T04,3.596,19.35
2014-02-01T05,3.803,19.35
2014-02-01T06,4.125,19.45
2014-02-01T07,4.398,19.6
2014-02-01T08,4.66,20.55
2014-02-01T09,4.853,22.4
2014-02-01T10,5.115,24.55
2014-02-01T11,5.412,26.9
2014-02-01T12,5.669,27.95
2014-02-01T13,5.93,28.5
2014-02-01T14,6.216,28.2
2014-02-01T15,6.466,29.05
2014-02-01T16,6.641,28.7
2014-02-01T17,6.605,28.8
2014-02-01T18,6.316,27.15
2014-02-01T19,5.821,24.9
2014-02-01T20,5.52,23.5
2014-02-01T21,5.016,23.35
2014-02-01T22,4.657,23
2014-02-01T23,4.746,22.3
2014-02-02T00,4.197,21.4
2014-02-02T01,3.823,20.7
2014-02-02T02,3.613,19.85
2014-02-02T03,3.505,19.4
2014-02-02T04,3.488,19.25
2014-02-02T05,3.532,18.7
2014-02-02T06,3.716,18.65
2014-02-02T07,4.011,20.2
2014-02-02T08,4.421,23.4
2014-02-02T09,4.836,26.4
2014-02-02T10,5.296,27.45
2014-02-02T11,5.766,29.15
2014-02-02T12,6.233,32.05
2014-02-02T13,6.646,34.5
2014-02-02T14,7.011,34.95
2014-02-02T15,7.38,36.55
2014-02-02T16,7.66,37.85
2014-02-02T17,7.804,38.4
2014-02-02T18,7.691,35.15
2014-02-02T19,7.364,34.05
2014-02-02T20,7.019,34.1
2014-02-02T21,6.26,33.1
2014-02-02T22,5.545,30.3
2014-02-02T23,5.437,29.3
2014-02-03T00,4.806,27.55
2014-02-03T01,4.457,26.6
2014-02-03T02,4.235,25.9
2014-02-03T03,4.172,25.5
2014-02-03T04,4.396,25.15
2014-02-03T05,5.002,25
2014-02-03T06,5.817,25.15
2014-02-03T07,6.266,27
2014-02-03T08,6.732,31.15
2014-02-03T09,7.049,32.75
2014-02-03T10,7.184,31.5
2014-02-03T11,7.085,26.9
2014-02-03T12,6.798,23.9
2014-02-03T13,6.632,23.15
2014-02-03T14,6.408,22.85
2014-02-03T15,6.218,21.5
2014-02-03T16,5.968,21.15
2014-02-03T17,5.544,21.3
2014-02-03T18,5.217,19.7
2014-02-03T19,4.964,18.8
2014-02-03T20,4.758,18.45
2014-02-03T21,4.328,18.3
2014-02-03T22,4.074,17.8
2014-02-03T23,4.367,16.85
2014-02-04T00,3.883,16.4
2014-02-04T01,3.536,16.15
2014-02-04T02,3.404,15.7
2014-02-04T03,3.396,15.5
2014-02-04T04,3.624,15.4
2014-02-04T05,4.271,15.3
2014-02-04T06,4.916,15.05
2014-02-04T07,4.953,15.65
2014-02-04T08,5.016,18.1
2014-02-04T09,5.048,19.2
2014-02-04T10,5.106,21.05
2014-02-04T11,5.124,22.35
2014-02-04T12,5.2,23.45
2014-02-04T13,5.244,24.85
2014-02-04T14,5.242,24.95
2014-02-04T15,5.341,25.55
2014-02-04T16,5.368,25.3
2014-02-04T17,5.166,24.25
2014-02-04T18,4.91,22.75
2014-02-04T19,4.762,20.85
2014-02-04T20,4.7,19.35
2014-02-04T21,4.276,18.25
2014-02-04T22,4.035,17.45
2014-02-04T23,4.318,17
2014-02-05T00,3.858,16.5
2014-02-05T01,3.55,16.1
2014-02-05T02,3.399,15.95
2014-02-05T03,3.382,15.3
2014-02-05T04,3.59,14.55
2014-02-05T05,4.261,14.25
2014-02-05T06,4.937,14.4
2014-02-05T07,4.994,15.55
2014-02-05T08,5.094,18.3
2014-02-05T09,5.168,20
2014-02-05T10,5.303,22.75
2014-02-05T11,5.41,25.45
2014-02-05T12,5.571,25.8
2014-02-05T13,5.74,26.35
2014-02-05T14,5.9,29.15
2014-02-05T15,6.177,30.45
2014-02-05T16,6.274,30.35
2014-02-05T17,6.039,29.6
2014-02-05T18,5.7,27.55
2014-02-05T19,5.389,25.55
2014-02-05T20,5.192,23.65
2014-02-05T21,4.672,22.95
2014-02-05T22,4.359,21.85
2014-02-05T23,4.614,20.7
2014-02-06T00,4.118,20.15
2014-02-06T01,3.805,19.3
2014-02-06T02,3.627,19
2014-02-06T03,3.646,18.4
2014-02-06T04,3.882,17.8
2014-02-06T05,4.47,17.75
2014-02-06T06,5.106,18
2014-02-06T07,5.274,20.8
2014-02-06T08,5.507,23.4
2014-02-06T09,5.711,25.75
2014-02-06T10,5.95,27.75
2014-02-06T11,6.2,29.6
2014-02-06T12,6.527,32.15
2014-02-06T13,6.884,32.9
2014-02-06T14,7.196,33.65
2014-02-06T15,7.615,34.3
2014-02-06T16,7.845,34.8
2014-02-06T17,7.759,35.05
2014-02-06T18,7.437,33.75
2014-02-06T19,7.059,33.25
2014-02-06T20,6.584,32.4
2014-02-06T21,5.742,31.25
2014-02-06T22,5.125,29.65
2014-02-06T23,5.139,28.55
2014-02-07T00,4.564,26.55
2014-02-07T01,4.218,25.95
2014-02-07T02,4.025,25
2014-02-07T03,4,24.4
2014-02-07T04,4.245,24.15
2014-02-07T05,4.783,24.15
2014-02-07T06,5.504,24.35
2014-02-07T07,5.92,26.9
2014-02-07T08,6.271,28.75
2014-02-07T09,6.549,30.35
2014-02-07T10,6.894,32.75
2014-02-07T11,7.231,34.25
2014-02-07T12,7.535,35.3
2014-02-07T13,7.597,28.4
2014-02-07T14,7.562,27.25
2014-02-07T15,7.609,26.6
2014-02-07T16,7.534,25.75
2014-02-07T17,7.118,25.35
2014-02-07T18,6.448,23.15
2014-02-07T19,5.963,21.55
2014-02-07T20,5.565,20.85
2014-02-07T21,5.005,20.55
2014-02-07T22,4.666,20.35
2014-02-07T23,4.85,20.55
2014-02-08T00,4.302,20.6
2014-02-08T01,3.905,19.9
2014-02-08T02,3.678,19.55
2014-02-08T03,3.61,19.2
2014-02-08T04,3.672,18.9
2014-02-08T05,3.869,18.85
2014-02-08T06,4.204,19.25
2014-02-08T07,4.541,21
2014-02-08T08,4.944,23.05
2014-02-08T09,5.265,25.35
2014-02-08T10,5.651,27.7
2014-02-08T11,6.09,31.05
2014-02-08T12,6.547,35.25
2014-02-08T13,6.935,35.1
2014-02-08T14,7.318,36.85
2014-02-08T15,7.625,39.25
2014-02-08T16,7.793,40
2014-02-08T17,7.76,39.45
2014-02-08T18,7.51,38.95
2014-02-08T19,7.145,37.75
2014-02-08T20,6.805,33.85
2014-02-08T21,6.103,30.4
2014-02-08T22,5.52,25.7
2014-02-08T23,5.462,25.4
2014-02-09T00,4.824,25.6
2014-02-09T01,4.444,28.15
2014-02-09T02,4.237,32.4
2014-02-09T03,4.157,31.85
2014-02-09T04,4.164,31.35
2014-02-09T05,4.275,31.2
2014-02-09T06,4.545,31.1
2014-02-09T07,5.033,31.95
2014-02-09T08,5.594,32.45
2014-02-09T09,6.176,35.2
2014-02-09T10,6.681,38.4
2014-02-09T11,6.628,35.85
2014-02-09T12,6.238,30.7
2014-02-09T13,6.039,27.85
2014-02-09T14,5.897,26.9
2014-02-09T15,5.832,26.65
2014-02-09T16,5.701,25.25
2014-02-09T17,5.483,24.45
2014-02-09T18,4.949,22.5
2014-02-09T19,4.589,22.05
2014-02-09T20,4.407,20
2014-02-09T21,4.027,19.75
2014-02-09T22,3.82,19.1
2014-02-09T23,4.075,18.5
2014-02-10T00,3.65,18.4
2014-02-10T01,3.388,17.4
2014-02-10T02,3.271,16.9
2014-02-10T03,3.268,16.8
2014-02-10T04,3.498,16.45
2014-02-10T05,4.086,16.05
2014-02-10T06,4.8,16.3
2014-02-10T07,4.933,17.45
2014-02-10T08,5.102,19.3
2014-02-10T09,5.126,20
2014-02-10T10,5.194,21.05
2014-02-10T11,5.26,22.8
2014-02-10T12,5.319,22.55
2014-02-10T13,5.364,23.3
2014-02-10T14,5.419,24.05
2014-02-10T15,5.559,23.1
2014-02-10T16,5.568,23.1
2014-02-10T17,5.332,22.5
2014-02-10T18,5.027,20.8
2014-02-10T19,4.864,19.55
2014-02-10T20,4.738,18.8
2014-02-10T21,4.303,18.2
2014-02-10T22,4.093,17.65
2014-02-10T23,4.379,17.75
2014-02-11T00,3.952,17.15
2014-02-11T01,3.632,16.55
2014-02-11T02,3.461,16.2
2014-02-11T03,3.446,16
2014-02-11T04,3.732,15.6
2014-02-11T05,4.294,15.15
2014-02-11T06,4.911,15.15
2014-02-11T07,5.021,16.25
2014-02-11T08,5.138,17.8
2014-02-11T09,5.223,19.15
2014-02-11T10,5.348,21
2014-02-11T11,5.479,22.8
2014-02-11T12,5.661,23.85
2014-02-11T13,5.832,24.25
2014-02-11T14,5.966,26.2
2014-02-11T15,6.178,25.65
2014-02-11T16,6.212,25.05
2014-02-11T17,5.949,23.85
2014-02-11T18,5.64,23.6
2014-02-11T19,5.449,23.1
2014-02-11T20,5.213,22.95
2014-02-11T21,4.678,22.55
2014-02-11T22,4.376,21.55
2014-02-11T23,4.601,20.45
2014-02-12T00,4.147,19.6
2014-02-12T01,3.815,18.7
2014-02-12T02,3.61,18.3
2014-02-12T03,3.605,18
2014-02-12T04,3.879,17.55
2014-02-12T05,4.468,17.3
2014-02-12T06,5.09,17.2
2014-02-12T07,5.226,17.95
2014-02-12T08,5.406,19.45
2014-02-12T09,5.561,21.1
2014-02-12T10,5.74,23.05
2014-02-12T11,5.899,24.65
2014-02-12T12,6.095,25.05
2014-02-12T13,6.272,25.85
2014-02-12T14,6.402,25.3
2014-02-12T15,6.61,26.65
2014-02-12T16,6.585,25.5
2014-02-12T17,6.265,25.9
2014-02-12T18,5.925,26.25
2014-02-12T19,5.747,25.3
2014-02-12T20,5.497,25.15
2014-02-12T21,4.932,23.6
2014-02-12T22,4.58,22.05
2014-02-12T23,4.763,21.7
2014-02-13T00,4.298,21.15
2014-02-13T01,4.026,20.55
2014-02-13T02,3.871,20.5
2014-02-13T03,3.827,20.2
2014-02-13T04,4.065,20.5
2014-02-13T05,4.643,20.6
2014-02-13T06,5.317,20.9
2014-02-13T07,5.494,21.7
2014-02-13T08,5.685,22
2014-02-13T09,5.814,22.25
2014-02-13T10,5.912,23.4
2014-02-13T11,5.999,23.9
2014-02-13T12,6.097,25.25
2014-02-13T13,6.176,26.2
2014-02-13T14,6.136,26
2014-02-13T15,6.131,25.3
2014-02-13T16,6.049,25.2
2014-02-13T17,5.796,25.3
2014-02-13T18,5.532,25.5
2014-02-13T19,5.475,25.35
2014-02-13T20,5.254,25.05
2014-02-13T21,4.742,24.85
2014-02-13T22,4.453,24.05
2014-02-13T23,4.66,23.15
2014-02-14T00,4.176,22.3
2014-02-14T01,3.895,21.9
2014-02-14T02,3.726,21.15
2014-02-14T03,3.717,20.3
2014-02-14T04,3.91,19.65
2014-02-14T05,4.479,19.7
2014-02-14T06,5.135,19.75
2014-02-14T07,5.306,20.25
2014-02-14T08,5.52,21.5
2014-02-14T09,5.672,23.6
2014-02-14T10,5.737,24.6
2014-02-14T11,5.785,25.9
2014-02-14T12,5.829,25.45
2014-02-14T13,5.893,24.85
2014-02-14T14,5.892,25.9
2014-02-14T15,5.921,26.15
2014-02-14T16,5.817,26.25
2014-02-14T17,5.557,26.35
2014-02-14T18,5.304,26.25
2014-02-14T19,5.234,25.85
2014-02-14T20,5.074,25.3
2014-02-14T21,4.656,24.6
2014-02-14T22,4.396,23.75
2014-02-14T23,4.599,22.25
2014-02-15T00,4.064,21.75
2014-02-15T01,3.749,21.45
2014-02-15T02,3.56,21.5
2014-02-15T03,3.475,21.3
2014-02-15T04,3.552,21.25
2014-02-15T05,3.783,21.2
2014-02-15T06,4.045,21.6
2014-02-15T07,4.258,22
2014-02-15T08,4.539,23.65
2014-02-15T09,4.762,25.2
2014-02-15T10,4.938,26.4
2014-02-15T11,5.049,25.5
2014-02-15T12,5.037,25.15
2014-02-15T13,5.066,26.95
2014-02-15T14,5.151,28.35
2014-02-15T15,5.197,25.65
2014-02-15T16,5.201,25
2014-02-15T17,5.132,25.5
2014-02-15T18,4.908,24.15
2014-02-15T19,4.725,22.9
2014-02-15T20,4.568,21.6
2014-02-15T21,4.222,21.75
2014-02-15T22,3.939,21.5
2014-02-15T23,4.215,21.55
2014-02-16T00,3.741,20.45
2014-02-16T01,3.38,19.5
2014-02-16T02,3.174,18.75
2014-02-16T03,3.076,18.65
2014-02-16T04,3.071,18.2
2014-02-16T05,3.172,17.3
2014-02-16T06,3.328,17.9
2014-02-16T07,3.427,18.05
2014-02-16T08,3.603,17.4
2014-02-16T09,3.738,16.85
2014-02-16T10,3.765,17.95
2014-02-16T11,3.777,20.55
2014-02-16T12,3.705,21.95
2014-02-16T13,3.69,22.6
2014-02-16T14,3.742,22.3
2014-02-16T15,3.859,22.4
2014-02-16T16,4.032,22.3
2014-02-16T17,4.113,21.1
2014-02-16T18,4.032,20.25
2014-02-16T19,4.066,19.2
2014-02-16T20,4.011,18.9
2014-02-16T21,3.712,18.6
2014-02-16T22,3.53,18.35
2014-02-16T23,3.905,17.7
2014-02-17T00,3.556,17.2
2014-02-17T01,3.283,16.85
2014-02-17T02,3.136,16.9
2014-02-17T03,3.146,16.8
2014-02-17T04,3.4,16.8
2014-02-17T05,4.009,16.6
2014-02-17T06,4.717,16.35
2014-02-17T07,4.827,17.2
2014-02-17T08,4.909,18.35
2014-02-17T09,4.973,19.55
2014-02-17T10,5.036,20.3
2014-02-17T11,5.079,21.6
2014-02-17T12,5.16,21.8
2014-02-17T13,5.228,23.3
2014-02-17T14,5.241,23.2
2014-02-17T15,5.343,24.55
2014-02-17T16,5.35,24.95
2014-02-17T17,5.184,24.9
2014-02-17T18,4.941,23.7
2014-02-17T19,4.797,22
2014-02-17T20,4.615,19.65
2014-02-17T21,4.16,18.25
2014-02-17T22,3.904,17.7
2014-02-17T23,4.213,17.25
2014-02-18T00,3.81,16.9
2014-02-18T01,3.528,16.55
2014-02-18T02,3.369,16.05
2014-02-18T03,3.381,16.45
2014-02-18T04,3.609,15.4
2014-02-18T05,4.178,14.9
2014-02-18T06,4.861,14.7
2014-02-18T07,4.918,16.1
2014-02-18T08,5.006,18.45
2014-02-18T09,5.102,19.8
2014-02-18T10,5.239,23
2014-02-18T11,5.385,25.25
2014-02-18T12,5.528,27.6
2014-02-18T13,5.724,27.9
2014-02-18T14,5.845,28.55
2014-02-18T15,6.048,29.45
2014-02-18T16,6.097,29.7
2014-02-18T17,5.838,29.35
2014-02-18T18,5.507,27
2014-02-18T19,5.267,23.55
2014-02-18T20,5.003,21.9
2014-02-18T21,4.462,20.75
2014-02-18T22,4.184,20.15
2014-02-18T23,4.431,19.6
2014-02-19T00,3.969,19.15
2014-02-19T01,3.66,18.8
2014-02-19T02,3.48,18.55
2014-02-19T03,3.47,18.2
2014-02-19T04,3.693,17.75
2014-02-19T05,4.313,17.65
2014-02-19T06,4.955,17.8
2014-02-19T07,5.083,18.75
2014-02-19T08,5.251,19.6
2014-02-19T09,5.268,20.45
2014-02-19T10,5.293,21.95
2014-02-19T11,5.285,23.7
2014-02-19T12,5.308,23.15
2014-02-19T13,5.349,24.15
2014-02-19T14,5.322,24.55
2014-02-19T15,5.328,21.4
2014-02-19T16,5.151,19.15
2014-02-19T17,4.975,19.05
2014-02-19T18,4.741,16.5
2014-02-19T19,4.678,15.9
2014-02-19T20,4.458,14.85
2014-02-19T21,4.056,15.3
2014-02-19T22,3.868,14.1
2014-02-19T23,4.226,13.8
2014-02-20T00,3.799,13.6
2014-02-20T01,3.428,13.45
2014-02-20T02,3.253,13.4
2014-02-20T03,3.228,13.05
2014-02-20T04,3.452,12.75
2014-02-20T05,4.04,12.8
2014-02-20T06,4.726,12.75
2014-02-20T07,4.709,13.6
2014-02-20T08,4.721,14.95
2014-02-20T09,4.741,16.1
2014-02-20T10,4.846,17.5
2014-02-20T11,4.864,18.5
2014-02-20T12,4.868,19.3
2014-02-20T13,4.836,19.4
2014-02-20T14,4.799,19.75
2014-02-20T15,4.89,19.4
2014-02-20T16,4.946,19.45
2014-02-20T17,4.8,19.45
2014-02-20T18,4.646,18.9
2014-02-20T19,4.693,17.65
2014-02-20T20,4.546,16.8
2014-02-20T21,4.117,15.9
2014-02-20T22,3.897,15.05
2014-02-20T23,4.259,14.55
2014-02-21T00,3.893,14.25
2014-02-21T01,3.505,13.8
2014-02-21T02,3.341,13.85
2014-02-21T03,3.334,13.7
2014-02-21T04,3.623,13.65
2014-02-21T05,4.24,13.35
2014-02-21T06,4.925,13.4
2014-02-21T07,4.986,14.05
2014-02-21T08,5.028,15
2014-02-21T09,4.987,16.65
2014-02-21T10,4.984,17.85
2014-02-21T11,4.975,18.45
2014-02-21T12,4.912,18.2
2014-02-21T13,4.833,18.9
2014-02-21T14,4.686,19.85
2014-02-21T15,4.71,20
2014-02-21T16,4.718,19.7
2014-02-21T17,4.577,18.8
2014-02-21T18,4.454,17.5
2014-02-21T19,4.532,16.6
2014-02-21T20,4.407,16.25
2014-02-21T21,4.064,16
2014-02-21T22,3.883,16.3
2014-02-21T23,4.221,16.4
2014-02-22T00,3.792,15.8
2014-02-22T01,3.445,15.85
2014-02-22T02,3.261,14.6
2014-02-22T03,3.221,14.65
2014-02-22T04,3.295,15.2
2014-02-22T05,3.521,14.9
2014-02-22T06,3.804,14.6
2014-02-22T07,4.038,15.15
2014-02-22T08,4.2,16
2014-02-22T09,4.226,16.35
2014-02-22T10,4.198,17
2014-02-22T11,4.182,18.3
2014-02-22T12,4.078,19.05
2014-02-22T13,4.018,19.3
2014-02-22T14,4.002,19.4
2014-02-22T15,4.066,18.65
2014-02-22T16,4.158,18.75
2014-02-22T17,4.154,19.1
2014-02-22T18,4.084,18.3
2014-02-22T19,4.104,17.95
2014-02-22T20,4.001,17.55
2014-02-22T21,3.773,16.9
2014-02-22T22,3.7,16.45
2014-02-22T23,4.078,15.85
2014-02-23T00,3.702,15.8
2014-02-23T01,3.349,15.65
2014-02-23T02,3.143,15.2
2014-02-23T03,3.052,14.7
2014-02-23T04,3.07,14.95
2014-02-23T05,3.181,15.25
2014-02-23T06,3.327,15.2
2014-02-23T07,3.44,15.8
2014-02-23T08,3.616,16.8
2014-02-23T09,3.678,17.9
2014-02-23T10,3.694,19.7
2014-02-23T11,3.71,21.05
2014-02-23T12,3.706,21.6
2014-02-23T13,3.764,22.55
2014-02-23T14,3.852,22.75
2014-02-23T15,4.009,22.9
2014-02-23T16,4.202,22.5
2014-02-23T17,4.323,21.95
2014-02-23T18,4.249,20.45
2014-02-23T19,4.275,19.6
2014-02-23T20,4.162,19.2
2014-02-23T21,3.848,18
2014-02-23T22,3.706,16.95
2014-02-23T23,4.06,16.45
2014-02-24T00,3.703,16.15
2014-02-24T01,3.401,15.6
2014-02-24T02,3.251,15.15
2014-02-24T03,3.239,15.25
2014-02-24T04,3.455,15.2
2014-02-24T05,4.041,14.75
2014-02-24T06,4.743,15.05
2014-02-24T07,4.815,15.6
2014-02-24T08,4.916,17.75
2014-02-24T09,4.931,18.45
2014-02-24T10,4.966,20.05
2014-02-24T11,5.063,21.35
2014-02-24T12,5.218,22.5
2014-02-24T13,5.381,23.55
2014-02-24T14,5.458,24.1
2014-02-24T15,5.55,22.6
2014-02-24T16,5.566,23.15
2014-02-24T17,5.376,24.1
2014-02-24T18,5.104,22.65
2014-02-24T19,5.022,21.25
2014-02-24T20,4.793,19.9
2014-02-24T21,4.335,19.1
2014-02-24T22,4.108,18.25
2014-02-24T23,4.41,17.75
2014-02-25T00,4.008,17.5
2014-02-25T01,3.666,16.6
2014-02-25T02,3.497,16.1
2014-02-25T03,3.464,15.85
2014-02-25T04,3.698,15.75
2014-02-25T05,4.333,15.7
2014-02-25T06,4.998,16.35
2014-02-25T07,5.094,19.6
2014-02-25T08,5.272,25.75
2014-02-25T09,5.459,27.8
2014-02-25T10,5.648,30.05
2014-02-25T11,5.853,32.35
2014-02-25T12,6.062,31.9
2014-02-25T13,6.258,32.45
2014-02-25T14,6.236,29.6
2014-02-25T15,6.226,28.85
2014-02-25T16,5.957,23.45
2014-02-25T17,5.455,21.1
2014-02-25T18,5.066,20.1
2014-02-25T19,4.968,20.1
2014-02-25T20,4.742,19.9
2014-02-25T21,4.304,19.3
2014-02-25T22,4.105,19.05
2014-02-25T23,4.41,18.85